LINE_START_NAME,LINE_END_NAME
Сопот (Станојевац-М.Пожаревац),Сенаја
Сопот,Мали Пожаревац
Сопот (Дрлупа-Сибница),Барајево
Сопот (Дрлупа),Барајево
Барајево (Сибница),Сопот
Сопот (Дрлупа-Слатина),Барајево
Сопот (Дучина-Слатина),Барајево
Сопот,Бабе
Сопот,Стојник
Сопот (Губеревац-Стојник),Сопот
Сопот,Губеревац
Шумице,Дражањ (Гроцка)
Шумице,Дражањ (Аутопутем)
Дражањ (Живковац),Шумице(Аутопутем)
Шумице(Врчин-Заклопача-Гроцка),Камендо
Шумице(Врчин-Заклопача-Гроцка),Живковац
Шумице (Врчин-Заклопача),Гроцка
Шумице (Живковац),Дражањ
Шумице ,Дражањ
Шумице (Гроцка-Брестовик),Пударци
Шумице,Живковац (преко Гроцке)
Шумице (Живковац),Дражањ
Шумице (Камендо),Живковац
Живковац,Шумице (Аутопутем)
Живковац,Шумице (Преко Гроцке)
Шумице (Преко Гроцке),Живковац
Шумице (аутопутем),Камендол
Камендо,Шумице (аутопутем)
Београд,Сопот (Авалски пут)
Београд,Стојник
Београд,М. Иванча (Аутопутем)
Београд,М. Иванча (Аутопутем)
Шумице (Равнице),Врчин
Шумице (Врчин),Врчин (Авалски пут)
Шумице (Врчин-Јаричиште),Рамнице
Шумице (Врчин-Јаричиште),Рамнице
Сопот (М. Поповић-М.Пожаревац), Београд (аутопутем)
Сопот (Станојевац), Београд (аутопутем)
Сопот (Станојевац), Београд (аутопутем)
Сопот (Станојевац-Славија), Београд (аутопутем)
Београд (Јаричиште),Врчин Центар 
Београд (Врчин Центар),Гроцка
Београд,М. Иванча (Авалским путем )
Београд,М. Иванча (Авалским путем )
Београд,Парцани 
Београд,Младеновац
Београд,Младеновац
Београд, Младеновац ( Аутопутем )
Београд, Младеновац ( Аутопутем )
Младеновац (Сенаја),Београд
Младеновац(М.Пожаревац-Сенаја), Београд
Младеновац, Београд
Баново Брдо,Барајево
Баново Брдо (Сремчица),Барајево
Београд АС,Барајево
Барајево,Баново Брдо
Барајево,Баново Брдо
Београд,Лазаревац
Београд,Лазаревац (Дом Здравља)
Београд (Експрес),Лазаревац
Београд,Трбушница
Београд,Крушевица
Београд,Миросаљци (Гуњевац)
Баново Брдо,Термоелектарана
Београд,Миросаљци 
Баново Брдо (Вранић),Тараиш
Баново Брдо,Рашића Крај
Баново Брдо,Дражевац
Баново Брдо (Мељак),Тараиш
Баново Брдо,Рашића крај
Баново Брдо,Шиљаковац
БАС,Обреновац 
БАС,Обреновац 
Обреновац ,БАС
Баново Брдо,Велика Моштаница
Сопот (М.Иванча-М. Пожаревац),Београд
Барајево (Баћевац-Вранић...),Обреновац 
Лазаревац,Степојевац
Обреновац,Скела
Обреновац,Пироман - Центар
Пироман,Обреновац
Обреновац (Орашац),Вукићевица
Вукићевица,Обреновац
Сопот (М.Иванча-М. Пожаревац),Сопот
Барајево,Гунцати
Барајево,Шиљаковац
Градска 5 (Трстена) ,Минел
Сопот (Слатина),Сибница
Сопот (Слатина-Манић),Сибница
АС Обреновац ,Сурчин 
Дрен школа,Лазаревац
Градска 5 (Ул. Николе Пашића),Трстена
Градска 5 (Границе) ,Пијац
Градска 5 (Општина),Границе
Сопот (АС),Сибница (Окретница)
Сопот (АС),Стојник (окретница)
Младеновац (ул.Николе Пашића),Младеновац (Прогрес)
Сопот,Стојник
Марошевац,Младеновац
Глишићи,Младеновац
Стојник,Београд
Сопот (Стојник - Дучина),Стојник
