DISPLAY_ROUTE_CODE,ROUTE_CODE,LINE_START_NAME,LINE_END_NAME
912A,60040,Тент А (В. пут-Звечка-Ш. пут),Тент А
912AX,60041,Тент А (В. пут-Звечка-Ш. пут),Тент А
912A1,60042,ОШ J.Ј.Змај,Тент А
912B,60043,Гај (Ројковац-Шабачким путем),Звечка
912c,60044,Звечка (Шабачким путем),Тент А
912,60045,Гај (Ројковац-Ваљевским путем),Звечка (Чеде Тодоровића)
913,60046,Обреновац,Аутобаза
921,60047,Обреновац,Звечка 
922,60048,Обреновац (Ратари),Обреновац
923,60049,Обреновац (Скела),Обреновац
924,60050,Обреновац (Ушће),Обреновац
924A,60051,Обреновац АС,Ушће (ТЕНТ II)
932,60052,Обреновац (Јасенак-Шумадија),Обреновац
932A,60053,Обреновац,Јасенак (пуж)
934,60054,Обреновац,Баљевац
934A,60055,Обреновац,Баљевац
935,60056,Обреновац,Конатице
936,60057,Обреновац (Баљевац),Конатице
937,60058,Обреновац (Јасенак-Баљевац),Конатице
938,60059,Обреновац (Конатице),Јасенак
939,60060,Обреновац (Јасенак),Баљевац (дом)
939A,60061,Обреновац (Јасенак),Баљевац (Ибарска магистрала)
940,60062,Обреновац,Степојевац
945,60063,Обреновац (Степојевац),Лазаревац
946,60064,Лазаревац (Пољане-Стублине),Обреновац
951,60065,Обреновац (В. Поље-Горњи краj),Велико Поље (Стаменића Крај)
951A,60066,Обреновац,Велико Поље (Стаменића Крај)
952A,60067,Обреновац (В. Поље-Стублинe),Обреновац
953A,60068,Обреновац (Стублине),Пољане
953,60069,Обреновац,Пољане
954,60070,Обреновац,Пироман 
954A,60071,Пироман (Звечка),Обреновац
955,60072,Обреновац,Трстеница(Дом)
958,60073,Обреновац (Трстеница),Обреновац
959,60074,Обреновац,Бровић
9591,60075,Обреновац,Бровић (Матићи)
960A,60076,Пироман ,Обреновац
960,60077,Обреновац,Пироман 
971,60078,Обреновац,Грабовац
972A,60079,Обреновац,Иверић
972,60080,Обреновац,Дрен 
973A,60081,Обреновац (Дрен),Вукићевица
973,60082,Обреновац (Орашац),Вукићевица
974A,60083,Љубинић (Орашац),Обреновац
974,60084,Обреновац,Вукићевица
975,60085,Обреновац (Орашац),Вукићевица
976,60086,Обреновац (Грабовац),Дрен 
977,60087,Обреновац (Љубинић),Вукићевица
978,60088,Обреновац (Вукићевица),Љубинић
981,60089,Обреновац (Грабовац),Љубинић
982,60090,Љубинић (Вукићевица),Обреновац
983,60091,Обреновац,Бровић
5520A,60092,Барајево (Баћевац-Бождаревац),Барајево
5520,60093,Барајево (Баћевац-Бождаревац),Барајево
5521,60094,Барајево,Велики Борак
5521A,60095,Барајево - В.Борак,Бождаревац
5522,60096,Барајево (Гунцати-Бождаревац),Барајево
5522A,60097,Барајево (Гунцати-Баћевац),Барајево
5523,60098,Барајево АС (Пајшума),Губеревац
55231,60099,Барајево АС,Губеревац
5525A,60100,Рогача (Сибница),Барајево
5525B,60101,Рогача (Сопот - Сибница),Барајево
5525,60102,Барајево (Дрлупа),Рогача
55251,60103,Барајево,Рогача
5526A,60104,Барајево (Арнајево),Термоелектарана
5526b,60105,Барајево АС (Спасовина),Арнајево
5526,60106,Барајево АС,Арнајево
5527A,60107,Барајево АС (Манић-Рожанци...),Барајево
5527,60108,Барајево АС (Арнајево-Рожанци),Барајево
5529,60109,Барајево АС (Манић-Рожанци),Барајево
5529A,60110,Барајево АС (Манић),Барајево
5529b,60111,Барајево АС,Рожанци
5529v,60112,Барајево АС (Спасовина),Рожанци
5529c,60113,Барајево АС (Рожанци-Манић),Барајево
5530A,60114,Барајево (Гунцати-Вранић...),Барајево
5530b,60115,Барајево (Шиљаковац-Дубраве..),Барајево
5530v,60116,Барајево (Шиљаковац-Тараиш...),Барајево
5530g,60117,Барајево (Гунц.-Вран.-Р Крај),Барајево
530g1,60118,Барајево (Гунц.-Вран.-Р Крај),Барајево
5530d,60119,Барајево (Шиљаковац-Вранић...),Барајево
5530,60120,Барајево (Вранић-Тараиш...),Барајево
5533A,60121,Барајево АС (Липовица-Г. Брдо),Барајево
5533b,60122,Барајево (Требеж-С.Липовица..),Барајево
533b1,60123,Барајево (Требеж-С.Липовица..),Барајево
5534A,60124,Барајево (СР.Крај-Караула),Барајево
5534,60125,Барајево (Караула - СР.Крај),Барајево
5535,60126,Барајево,Ново Насеље
5535e,60127,Насеље Гај,Барајево
5536A,60128,Барајево АС ,Равни Гај
5536,60129,Барајево АС (Насеље),Равни Гај
5538,60130,Барајево (Сремчица-Мељак...),Барајево
355L,60131,Гроцка (Камендо),Умчари
361L,60132,Дражањ,Гроцка
363L,60133,Живковац (Камендо),Гроцка
4101,60134,Младеновац (Ковачевац),Велика Крсна (Окретница)
4102,60135,Младеновац,Велика Крсна (окретница)
41021,60136,Младеновац,Велика Крсна (окретница)
4105,60137,Младеновац,Ковачевац /Чот/
4106,60138,Младеновац,Ковачевац (Марићи)
4111,60139,Младеновац,Младеновац
4112,60140,Младеновац (Глишићи),Рабровац (Шуме Марошевац)
4113,60141,Младеновац,Глишићи
4121,60142,Младеновац,Јагњило (Бељаковићи)
4122,60143,Младеновац (Кленац-Јагњило),Рабровац
4123,60144,Младеновац,Шуме
4124,60145,Младеновац (Кленац-Јагњило),Младеновац
4125,60146,Младеновац (Међулужје-Селтерс),Младеновац
4130,60147,Младеновац,Марковац
41301,60148,Младеновац,Марковац
4131,60149,Младеновац (Црквине-Бељевац),Младеновац
4132,60150,Младеновац (Црквине-Међулужје),Младеновац
4133,60151,Младеновац (Марковац),Бељевац
4134,60152,Младеновац (Марковац-Бељевац),Младеновац
4135,60153,Младеновац (Марковац-Бељевац),Младеновац
4136,60154,Младеновац (Међулужје-Црквине),Младеновац
4137,60155,Младеновац (Бељевац-Марковац),Младеновац
4141,60156,Младеновац,Велика Иванча (Стругара)
4142,60157,Младеновац,Пружатовац
4143,60158,Младеновац,Велика Иванча (Метаљка)
4143A,60159,Младеновац,Велика Иванча (Метаљка)
